S_no,Year,Month,Day,Date,WD,Hour,Minute_30,Place1,Place2,Ventilation1,Ventilation2,Activity1,Activity2,AP1,AP2,AP3,Sensor
LA002,2018,10,28,6,0,23,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,29,7,NA,0,1,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,29,7,NA,0,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,29,7,NA,1,1,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,29,7,NA,1,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,29,7,NA,2,1,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,29,7,NA,2,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,29,7,NA,3,1,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,29,7,NA,3,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,29,7,NA,4,1,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,29,7,NA,4,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,29,7,NA,5,1,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,29,7,NA,5,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,29,7,NA,6,1,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,29,7,NA,6,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,29,7,NA,7,1,1,0,3,0,11,0,5,0,0,1
LA002,2018,10,29,7,NA,7,2,1,0,3,0,11,0,5,0,0,1
LA002,2018,10,29,7,NA,8,1,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,29,7,NA,8,2,1,0,3,0,11,0,3,0,0,1
LA002,2018,10,29,7,NA,9,1,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,29,7,NA,9,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,29,7,NA,10,1,16,0,9,0,2,0,65,0,0,1
LA002,2018,10,29,7,NA,10,2,9,0,9,0,2,0,65,0,0,1
LA002,2018,10,29,7,NA,11,1,1,0,3,0,10,0,65,0,0,1
LA002,2018,10,29,7,NA,11,2,16,0,9,0,2,0,4,2,0,1
LA002,2018,10,29,7,NA,12,1,16,0,9,0,2,0,65,0,0,1
LA002,2018,10,29,7,NA,12,2,13,0,4,0,2,0,0,0,0,1
LA002,2018,10,29,7,NA,13,1,12,0,3,0,2,0,65,0,0,1
LA002,2018,10,29,7,NA,13,2,16,0,9,0,2,0,2,0,0,1
LA002,2018,10,29,7,NA,14,1,7,0,3,0,3,0,0,0,0,1
LA002,2018,10,29,7,NA,14,2,7,0,3,0,3,0,65,0,0,1
