mins 173 , noise_error =0.9811320754716981, delte = 0.018867924528301883
mins 174 , noise_error =0.9905660377358491, delte = 0.009433962264150941
mins 175 , noise_error =0.8317757009345794, delte = 0.15887850467289721
mins 176 , noise_error =0.8807339449541285, delte = 0.11926605504587151
mins 177 , noise_error =0.9907407407407407, delte = 0.0092592592592593
mins 178 , noise_error =0.9626168224299065, delte = 0.03738317757009346
mins 179 , noise_error =0.92, delte = 0.07999999999999996
mins 180 , noise_error =0.8415841584158416, delte = 0.15841584158415845
mins 181 , noise_error =0.9292929292929293, delte = 0.010101010101010166
mins 182 , noise_error =0.9191919191919192, delte = 0.04040404040404033
mins 183 , noise_error =0.97, delte = 0.030000000000000027
mins 184 , noise_error =0.9299999999999999, delte = 0.07000000000000006
mins 185 , noise_error =0.84, delte = 0.16000000000000003
mins 186 , noise_error =0.8383838383838383, delte = 0.1515151515151516
mins 187 , noise_error =0.96, delte = 0.040000000000000036
mins 188 , noise_error =0.98989898989899, delte = 0.010101010101010055
mins 189 , noise_error =0.98989898989899, delte = 0.010101010101010055
mins 190 , noise_error =0.9607843137254902, delte = 0.039215686274509776
mins 191 , noise_error =0.970873786407767, delte = 0.029126213592232997
mins 192 , noise_error =0.8514851485148515, delte = 0.14851485148514854
mins 193 , noise_error =0.99, delte = 0.010000000000000009
mins 194 , noise_error =0.9702970297029703, delte = 0.02970297029702973
mins 195 , noise_error =0.99, delte = 0.010000000000000009
mins 196 , noise_error =0.9900990099009901, delte = 0.00990099009900991
mins 197 , noise_error =0.9619047619047619, delte = 0.03809523809523807
mins 198 , noise_error =0.9705882352941176, delte = 0.02941176470588236
mins 199 , noise_error =0.8627450980392157, delte = 0.13725490196078427
mins 200 , noise_error =0.9619047619047619, delte = 0.03809523809523807
mins 201 , noise_error =0.8446601941747574, delte = 0.15533980582524265
mins 202 , noise_error =0.9607843137254902, delte = 0.039215686274509776
mins 203 , noise_error =0.9797979797979798, delte = 0.02020202020202022
mins 204 , noise_error =0.8316831683168316, delte = 0.14851485148514854
mins 205 , noise_error =0.9607843137254902, delte = 0.039215686274509776
mins 206 , noise_error =0.9595959595959596, delte = 0.04040404040404044
mins 207 , noise_error =0.9795918367346939, delte = 0.020408163265306145
mins 208 , noise_error =0.9897959183673469, delte = 0.010204081632653073
mins 209 , noise_error =0.8383838383838383, delte = 0.1515151515151516
mins 210 , noise_error =0.9595959595959596, delte = 0.04040404040404044
mins 211 , noise_error =0.8484848484848485, delte = 0.1515151515151515
mins 212 , noise_error =0.96, delte = 0.040000000000000036
mins 213 , noise_error =0.9696969696969697, delte = 0.030303030303030276
mins 214 , noise_error =0.9897959183673469, delte = 0.010204081632653073
mins 215 , noise_error =0.8787878787878788, delte = 0.12121212121212122
mins 216 , noise_error =0.9611650485436893, delte = 0.03883495145631066
mins 217 , noise_error =0.9607843137254902, delte = 0.039215686274509776
mins 218 , noise_error =0.9693877551020408, delte = 0.030612244897959218
mins 219 , noise_error =0.9897959183673469, delte = 0.010204081632653073
mins 220 , noise_error =0.9583333333333334, delte = 0.02083333333333326
mins 221 , noise_error =0.9591836734693877, delte = 0.04081632653061229
mins 222 , noise_error =0.96875, delte = 0.03125
mins 223 , noise_error =0.979381443298969, delte = 0.020618556701030966
mins 224 , noise_error =0.9591836734693877, delte = 0.04081632653061229
mins 225 , noise_error =0.8210526315789474, delte = 0.17894736842105263
mins 226 , noise_error =0.96875, delte = 0.03125
mins 227 , noise_error =0.8556701030927836, delte = 0.14432989690721643
mins 228 , noise_error =0.9583333333333334, delte = 0.04166666666666663
mins 229 , noise_error =0.9690721649484536, delte = 0.030927835051546393
mins 230 , noise_error =0.9896907216494846, delte = 0.010309278350515427
mins 231 , noise_error =0.9587628865979382, delte = 0.04123711340206182
mins 232 , noise_error =0.9611650485436893, delte = 0.03883495145631066
mins 233 , noise_error =0.9479166666666666, delte = 0.05208333333333337
mins 234 , noise_error =0.8924731182795699, delte = 0.10752688172043012
mins 235 , noise_error =0.956989247311828, delte = 0.043010752688172005
mins 236 , noise_error =0.9518072289156626, delte = 0.048192771084337394
mins 237 , noise_error =0.9761904761904762, delte = 0.023809523809523836
mins 238 , noise_error =0.9659090909090909, delte = 0.03409090909090906
mins 239 , noise_error =0.9555555555555556, delte = 0.0444444444444444
mins 240 , noise_error =0.9560439560439561, delte = 0.04395604395604391
mins 241 , noise_error =0.9166666666666666, delte = 0.08333333333333337
mins 242 , noise_error =0.9775280898876404, delte = 0.022471910112359605
mins 243 , noise_error =0.8617021276595744, delte = 0.12765957446808518
mins 244 , noise_error =0.8913043478260869, delte = 0.09782608695652173
mins 245 , noise_error =0.945054945054945, delte = 0.05494505494505497
mins 246 , noise_error =0.8556701030927836, delte = 0.14432989690721643
mins 247 , noise_error =0.9555555555555556, delte = 0.0444444444444444
mins 248 , noise_error =0.8494623655913979, delte = 0.15053763440860213
mins 249 , noise_error =0.9690721649484536, delte = 0.030927835051546393
mins 250 , noise_error =0.962962962962963, delte = 0.03703703703703698
mins 251 , noise_error =0.8484848484848485, delte = 0.13131313131313127
mins 252 , noise_error =0.8679245283018868, delte = 0.13207547169811318
mins 253 , noise_error =0.86, delte = 0.14
mins 254 , noise_error =0.9611650485436893, delte = 0.03883495145631066
mins 255 , noise_error =0.9607843137254902, delte = 0.039215686274509776
mins 256 , noise_error =0.9680851063829787, delte = 0.03191489361702127
mins 257 , noise_error =0.8260869565217391, delte = 0.17391304347826086
mins 258 , noise_error =0.9560439560439561, delte = 0.04395604395604391
mins 259 , noise_error =0.9529411764705882, delte = 0.04705882352941182
mins 260 , noise_error =0.9120879120879121, delte = 0.08791208791208793
mins 261 , noise_error =0.9891304347826086, delte = 0.010869565217391353
mins 262 , noise_error =0.9550561797752809, delte = 0.0449438202247191
mins 263 , noise_error =0.9540229885057472, delte = 0.04597701149425282
mins 264 , noise_error =0.875, delte = 0.125
mins 265 , noise_error =0.9493670886075949, delte = 0.05063291139240511
mins 266 , noise_error =0.9523809523809523, delte = 0.04761904761904767
mins 267 , noise_error =0.8131868131868132, delte = 0.18681318681318682
mins 268 , noise_error =0.989010989010989, delte = 0.01098901098901095
mins 269 , noise_error =0.9615384615384616, delte = 0.038461538461538436
mins 270 , noise_error =0.9805825242718447, delte = 0.01941747572815533
mins 271 , noise_error =0.967741935483871, delte = 0.032258064516129004
mins 272 , noise_error =0.9504950495049505, delte = 0.04950495049504955
mins 273 , noise_error =0.9603960396039604, delte = 0.03960396039603964
mins 274 , noise_error =0.9591836734693877, delte = 0.04081632653061229
mins 275 , noise_error =0.968421052631579, delte = 0.03157894736842104
mins 276 , noise_error =0.9894736842105263, delte = 0.010526315789473717
mins 277 , noise_error =0.9607843137254902, delte = 0.039215686274509776
mins 278 , noise_error =0.96875, delte = 0.03125
mins 279 , noise_error =0.979381443298969, delte = 0.020618556701030966
mins 280 , noise_error =0.9901960784313726, delte = 0.009803921568627416
mins 281 , noise_error =0.9587628865979382, delte = 0.04123711340206182
mins 282 , noise_error =0.86, delte = 0.14
mins 283 , noise_error =0.968421052631579, delte = 0.03157894736842104
mins 284 , noise_error =0.9, delte = 0.09999999999999998
mins 285 , noise_error =0.9565217391304348, delte = 0.04347826086956519
mins 286 , noise_error =0.9550561797752809, delte = 0.0449438202247191
mins 287 , noise_error =0.8387096774193549, delte = 0.16129032258064513
mins 288 , noise_error =0.9148936170212766, delte = 0.08510638297872342
mins 289 , noise_error =0.9560439560439561, delte = 0.04395604395604391
mins 290 , noise_error =0.9425287356321839, delte = 0.034482758620689724
mins 291 , noise_error =0.9883720930232558, delte = 0.011627906976744207
mins 292 , noise_error =0.9550561797752809, delte = 0.0449438202247191
mins 293 , noise_error =0.9550561797752809, delte = 0.0449438202247191
mins 294 , noise_error =0.9578947368421052, delte = 0.021052631578947434
mins 295 , noise_error =0.9690721649484536, delte = 0.010309278350515427
mins 296 , noise_error =0.9560439560439561, delte = 0.04395604395604391
mins 297 , noise_error =0.8152173913043479, delte = 0.1630434782608695
mins 298 , noise_error =0.8777777777777778, delte = 0.09999999999999998
mins 299 , noise_error =0.9120879120879121, delte = 0.06593406593406592
mins 300 , noise_error =0.9565217391304348, delte = 0.04347826086956519
mins 301 , noise_error =0.8586956521739131, delte = 0.14130434782608692
mins 302 , noise_error =0.9883720930232558, delte = 0.011627906976744207
mins 303 , noise_error =0.9523809523809523, delte = 0.04761904761904767
mins 304 , noise_error =0.9456521739130435, delte = 0.04347826086956519
mins 305 , noise_error =0.9782608695652174, delte = 0.021739130434782594
mins 306 , noise_error =0.9895833333333334, delte = 0.01041666666666663
mins 307 , noise_error =0.9540229885057472, delte = 0.04597701149425282
mins 308 , noise_error =1.0, delte = 0.0
mins 309 , noise_error =0.9625, delte = 0.03749999999999998
mins 310 , noise_error =0.927710843373494, delte = 0.07228915662650603
mins 311 , noise_error =0.9523809523809523, delte = 0.04761904761904767
mins 312 , noise_error =0.9506172839506173, delte = 0.04938271604938271
mins 313 , noise_error =0.9518072289156626, delte = 0.048192771084337394
mins 314 , noise_error =0.9887640449438202, delte = 0.011235955056179803
mins 315 , noise_error =0.9540229885057472, delte = 0.04597701149425282
mins 316 , noise_error =0.8072289156626506, delte = 0.1686746987951807
mins 317 , noise_error =0.989010989010989, delte = 0.01098901098901095
mins 318 , noise_error =0.9555555555555556, delte = 0.0444444444444444
mins 319 , noise_error =0.96875, delte = 0.03125
mins 320 , noise_error =0.9805825242718447, delte = 0.01941747572815533
mins 321 , noise_error =0.989010989010989, delte = 0.01098901098901095
mins 322 , noise_error =0.9534883720930233, delte = 0.046511627906976716
mins 323 , noise_error =0.963855421686747, delte = 0.03614457831325302
mins 324 , noise_error =0.9711538461538461, delte = 0.009615384615384581
mins 325 , noise_error =0.9896907216494846, delte = 0.010309278350515427
mins 326 , noise_error =0.8205128205128205, delte = 0.17948717948717952
mins 327 , noise_error =0.8518518518518519, delte = 0.14814814814814814
mins 328 , noise_error =0.975609756097561, delte = 0.024390243902439046
mins 329 , noise_error =0.8607594936708861, delte = 0.1392405063291139
mins 330 , noise_error =0.948051948051948, delte = 0.051948051948051965
mins 331 , noise_error =0.9534883720930233, delte = 0.046511627906976716
mins 332 , noise_error =0.8, delte = 0.19999999999999996
mins 333 , noise_error =0.9878048780487805, delte = 0.012195121951219523
mins 334 , noise_error =0.948051948051948, delte = 0.051948051948051965
mins 335 , noise_error =0.925, delte = 0.04999999999999993
mins 336 , noise_error =0.9180327868852459, delte = 0.06557377049180324
mins 337 , noise_error =0.9663865546218487, delte = 0.03361344537815125
mins 338 , noise_error =0.9636363636363636, delte = 0.027272727272727337
mins 339 , noise_error =0.9714285714285714, delte = 0.02857142857142858
mins 340 , noise_error =0.8737864077669903, delte = 0.12621359223300965
mins 341 , noise_error =0.9611650485436893, delte = 0.03883495145631066
mins 342 , noise_error =0.86, delte = 0.14
mins 343 , noise_error =0.9901960784313726, delte = 0.009803921568627416
mins 344 , noise_error =0.9900990099009901, delte = 0.00990099009900991
mins 345 , noise_error =0.96, delte = 0.040000000000000036
mins 346 , noise_error =0.9587628865979382, delte = 0.04123711340206182
mins 347 , noise_error =0.8877551020408163, delte = 0.10204081632653061
mins 348 , noise_error =0.87, delte = 0.13
mins 349 , noise_error =0.9702970297029703, delte = 0.02970297029702973
