mins 242 , noise_error =0.8677685950413223
mins 243 , noise_error =0.95
mins 244 , noise_error =0.9914529914529915
mins 245 , noise_error =0.9827586206896551
mins 246 , noise_error =0.9754098360655737
mins 247 , noise_error =0.9722222222222222
mins 248 , noise_error =1.0
mins 249 , noise_error =0.9565217391304348
mins 250 , noise_error =0.9464285714285714
mins 251 , noise_error =0.9469026548672567
mins 252 , noise_error =0.9528301886792453
mins 253 , noise_error =0.9444444444444444
mins 254 , noise_error =0.9813084112149533
mins 255 , noise_error =1.0
mins 256 , noise_error =0.9818181818181818
mins 257 , noise_error =0.8773584905660378
mins 258 , noise_error =0.7428571428571429
mins 259 , noise_error =0.9133858267716536
mins 260 , noise_error =0.9090909090909091
mins 261 , noise_error =0.7931034482758621
mins 262 , noise_error =0.8691588785046729
mins 263 , noise_error =0.970873786407767
mins 264 , noise_error =1.0
mins 265 , noise_error =0.9900990099009901
mins 266 , noise_error =1.0
mins 267 , noise_error =1.0
mins 268 , noise_error =0.9714285714285714
mins 269 , noise_error =0.8727272727272728
mins 270 , noise_error =0.8198198198198199
mins 271 , noise_error =0.9714285714285714
mins 272 , noise_error =0.9813084112149533
mins 273 , noise_error =1.0
mins 274 , noise_error =0.8061224489795918
mins 275 , noise_error =0.9523809523809523
mins 276 , noise_error =1.0
mins 277 , noise_error =0.9716981132075472
mins 278 , noise_error =0.9821428571428571
mins 279 , noise_error =0.9380530973451328
mins 280 , noise_error =1.0
mins 281 , noise_error =0.9722222222222222
mins 282 , noise_error =0.9915254237288136
mins 283 , noise_error =0.991869918699187
mins 284 , noise_error =0.9745762711864406
mins 285 , noise_error =1.0
mins 286 , noise_error =1.0
mins 287 , noise_error =1.0
mins 288 , noise_error =1.0
mins 289 , noise_error =1.0
mins 290 , noise_error =1.0
mins 291 , noise_error =1.0
mins 292 , noise_error =1.0
mins 293 , noise_error =1.0
mins 294 , noise_error =0.9916666666666667
mins 295 , noise_error =0.9915254237288136
mins 296 , noise_error =0.9834710743801653
mins 297 , noise_error =1.0
mins 298 , noise_error =1.0
mins 299 , noise_error =0.9846153846153847
mins 300 , noise_error =0.953125
mins 301 , noise_error =0.9745762711864406
mins 302 , noise_error =0.8688524590163934
mins 303 , noise_error =0.6062992125984252
mins 304 , noise_error =0.7428571428571429
mins 305 , noise_error =0.796875
mins 306 , noise_error =0.7867647058823529
mins 307 , noise_error =0.835820895522388
mins 308 , noise_error =0.8043478260869565
mins 309 , noise_error =0.9626865671641791
mins 310 , noise_error =0.8333333333333334
mins 311 , noise_error =0.873015873015873
mins 312 , noise_error =0.8292682926829268
mins 313 , noise_error =0.884297520661157
mins 314 , noise_error =0.9838709677419355
mins 315 , noise_error =0.7704918032786885
mins 316 , noise_error =0.887218045112782
mins 317 , noise_error =0.8809523809523809
mins 318 , noise_error =0.9291338582677166
mins 319 , noise_error =0.9921875
mins 320 , noise_error =0.9465648854961832
mins 321 , noise_error =0.9302325581395349
mins 322 , noise_error =0.967741935483871
mins 323 , noise_error =0.8914728682170543
mins 324 , noise_error =0.9626865671641791
mins 325 , noise_error =0.9185185185185185
mins 326 , noise_error =0.9541984732824428
mins 327 , noise_error =0.9774436090225564
mins 328 , noise_error =0.9924812030075187
mins 329 , noise_error =0.9548872180451128
mins 330 , noise_error =0.9850746268656716
mins 331 , noise_error =0.9774436090225564
mins 332 , noise_error =0.9925373134328358
mins 333 , noise_error =0.9779411764705882
mins 334 , noise_error =0.9696969696969697
mins 335 , noise_error =0.9925373134328358
mins 336 , noise_error =0.9259259259259259
mins 337 , noise_error =0.9044117647058824
mins 338 , noise_error =0.8461538461538461
mins 339 , noise_error =0.7916666666666666
mins 340 , noise_error =0.7482517482517482
mins 341 , noise_error =0.8936170212765957
mins 342 , noise_error =1.0
mins 343 , noise_error =0.9924242424242424
mins 344 , noise_error =0.946969696969697
mins 345 , noise_error =0.9763779527559056
mins 346 , noise_error =0.9769230769230769
mins 347 , noise_error =1.0
mins 348 , noise_error =1.0
mins 349 , noise_error =1.0
mins 350 , noise_error =1.0
mins 351 , noise_error =0.9696969696969697
mins 352 , noise_error =1.0
mins 353 , noise_error =0.9922480620155039
mins 354 , noise_error =1.0
mins 355 , noise_error =1.0
mins 356 , noise_error =1.0
mins 357 , noise_error =0.9851851851851852
mins 358 , noise_error =1.0
mins 359 , noise_error =1.0
mins 360 , noise_error =0.9703703703703703
mins 361 , noise_error =0.9781021897810219
mins 362 , noise_error =1.0
mins 363 , noise_error =0.9774436090225564
mins 364 , noise_error =0.9925373134328358
mins 365 , noise_error =0.9848484848484849
mins 366 , noise_error =0.9007633587786259
mins 367 , noise_error =0.9846153846153847
mins 368 , noise_error =1.0
mins 369 , noise_error =1.0
mins 370 , noise_error =0.9848484848484849
mins 371 , noise_error =0.9849624060150376
mins 372 , noise_error =0.9847328244274809
mins 373 , noise_error =1.0
mins 374 , noise_error =0.9846153846153847
mins 375 , noise_error =1.0
mins 376 , noise_error =1.0
mins 377 , noise_error =1.0
mins 378 , noise_error =1.0
mins 379 , noise_error =1.0
mins 380 , noise_error =1.0
mins 381 , noise_error =1.0
mins 382 , noise_error =1.0
mins 383 , noise_error =1.0
mins 384 , noise_error =1.0
mins 385 , noise_error =1.0
mins 386 , noise_error =0.984375
mins 387 , noise_error =1.0
mins 388 , noise_error =1.0
mins 389 , noise_error =1.0
mins 390 , noise_error =1.0
mins 391 , noise_error =1.0
mins 392 , noise_error =0.9921875
mins 393 , noise_error =1.0
mins 394 , noise_error =1.0
mins 395 , noise_error =0.9920634920634921
mins 396 , noise_error =0.9923076923076923
mins 397 , noise_error =1.0
mins 398 , noise_error =0.9770992366412213
mins 399 , noise_error =1.0
mins 400 , noise_error =1.0
mins 401 , noise_error =1.0
mins 402 , noise_error =1.0
mins 403 , noise_error =0.984251968503937
mins 404 , noise_error =1.0
mins 405 , noise_error =1.0
mins 406 , noise_error =1.0
mins 407 , noise_error =1.0
mins 408 , noise_error =1.0
mins 409 , noise_error =0.9921875
mins 410 , noise_error =1.0
mins 411 , noise_error =1.0
mins 412 , noise_error =0.9920634920634921
mins 413 , noise_error =1.0
mins 414 , noise_error =1.0
mins 415 , noise_error =1.0
mins 416 , noise_error =1.0
mins 417 , noise_error =0.9921259842519685
mins 418 , noise_error =0.967479674796748
mins 419 , noise_error =0.976
mins 420 , noise_error =1.0
mins 421 , noise_error =1.0
mins 422 , noise_error =0.9923664122137404
mins 423 , noise_error =0.9923076923076923
mins 424 , noise_error =0.9694656488549618
mins 425 , noise_error =1.0
mins 426 , noise_error =0.9767441860465116
mins 427 , noise_error =0.8115942028985508
mins 428 , noise_error =0.9513888888888888
mins 429 , noise_error =0.9921259842519685
mins 430 , noise_error =0.984251968503937
mins 431 , noise_error =0.9921259842519685
mins 432 , noise_error =0.9844961240310077
mins 433 , noise_error =0.9606299212598425
mins 434 , noise_error =0.9921875
mins 435 , noise_error =1.0
mins 436 , noise_error =0.9921875
mins 437 , noise_error =0.9850746268656716
mins 438 , noise_error =0.9776119402985075
mins 439 , noise_error =1.0
mins 440 , noise_error =1.0
mins 441 , noise_error =1.0
mins 442 , noise_error =1.0
mins 443 , noise_error =1.0
mins 444 , noise_error =0.9848484848484849
mins 445 , noise_error =0.9847328244274809
mins 446 , noise_error =0.9770992366412213
mins 447 , noise_error =1.0
mins 448 , noise_error =1.0
mins 449 , noise_error =1.0
mins 450 , noise_error =1.0
mins 451 , noise_error =1.0
mins 452 , noise_error =1.0
mins 453 , noise_error =1.0
mins 454 , noise_error =1.0
mins 455 , noise_error =0.9923664122137404
mins 456 , noise_error =1.0
mins 457 , noise_error =0.9846153846153847
mins 458 , noise_error =0.9457364341085271
mins 459 , noise_error =0.9849624060150376
mins 460 , noise_error =1.0
mins 461 , noise_error =0.9923076923076923
mins 462 , noise_error =1.0
mins 463 , noise_error =1.0
mins 464 , noise_error =0.9855072463768116
mins 465 , noise_error =1.0
mins 466 , noise_error =1.0
mins 467 , noise_error =1.0
mins 468 , noise_error =1.0
mins 469 , noise_error =1.0
mins 470 , noise_error =0.9765625
mins 471 , noise_error =1.0
mins 472 , noise_error =0.9841269841269842
mins 473 , noise_error =0.992
mins 474 , noise_error =0.9921259842519685
mins 475 , noise_error =1.0
mins 476 , noise_error =1.0
mins 477 , noise_error =0.984251968503937
mins 478 , noise_error =1.0
mins 479 , noise_error =1.0
mins 480 , noise_error =1.0
mins 481 , noise_error =1.0
mins 482 , noise_error =1.0
mins 483 , noise_error =1.0
mins 484 , noise_error =1.0
mins 485 , noise_error =1.0
mins 486 , noise_error =1.0
mins 487 , noise_error =1.0
mins 488 , noise_error =1.0
mins 489 , noise_error =1.0
mins 490 , noise_error =1.0
mins 491 , noise_error =1.0
mins 492 , noise_error =1.0
mins 493 , noise_error =1.0
mins 494 , noise_error =0.9923664122137404
mins 495 , noise_error =1.0
mins 496 , noise_error =1.0
mins 497 , noise_error =1.0
mins 498 , noise_error =1.0
mins 499 , noise_error =1.0
mins 500 , noise_error =1.0
mins 501 , noise_error =0.9918032786885246
mins 502 , noise_error =1.0
mins 503 , noise_error =0.9838709677419355
mins 504 , noise_error =1.0
mins 505 , noise_error =1.0
mins 506 , noise_error =0.992
mins 507 , noise_error =1.0
mins 508 , noise_error =1.0
mins 509 , noise_error =0.9919354838709677
mins 510 , noise_error =0.8412698412698413
mins 511 , noise_error =0.9126984126984127
mins 512 , noise_error =1.0
mins 513 , noise_error =0.9548872180451128
mins 514 , noise_error =0.9558823529411765
mins 515 , noise_error =0.9541984732824428
mins 516 , noise_error =0.9767441860465116
mins 517 , noise_error =0.9754098360655737
mins 518 , noise_error =1.0
mins 519 , noise_error =1.0
mins 520 , noise_error =1.0
