mins 231 , noise_error =0.9310344827586207, delte = 0.04597701149425293
mins 232 , noise_error =0.896551724137931, delte = 0.06896551724137934
mins 233 , noise_error =0.7738095238095238, delte = 0.22619047619047616
mins 234 , noise_error =0.8202247191011236, delte = 0.1685393258426966
mins 235 , noise_error =0.9545454545454546, delte = 0.045454545454545414
mins 236 , noise_error =0.9069767441860466, delte = 0.046511627906976716
mins 237 , noise_error =0.9340659340659341, delte = 0.02197802197802201
mins 238 , noise_error =0.9325842696629214, delte = 0.0674157303370786
mins 239 , noise_error =0.9101123595505618, delte = 0.0898876404494382
mins 240 , noise_error =0.9662921348314607, delte = 0.011235955056179692
mins 241 , noise_error =0.8795180722891567, delte = 0.09638554216867468
mins 242 , noise_error =0.9550561797752809, delte = 0.0449438202247191
mins 243 , noise_error =0.8488372093023255, delte = 0.15116279069767447
mins 244 , noise_error =0.9540229885057472, delte = 0.04597701149425282
mins 245 , noise_error =0.9534883720930233, delte = 0.046511627906976716
mins 246 , noise_error =0.813953488372093, delte = 0.18604651162790697
mins 247 , noise_error =0.9529411764705882, delte = 0.04705882352941182
mins 248 , noise_error =0.9310344827586207, delte = 0.04597701149425293
mins 249 , noise_error =0.9302325581395349, delte = 0.06976744186046513
mins 250 , noise_error =0.813953488372093, delte = 0.18604651162790697
mins 251 , noise_error =0.9397590361445783, delte = 0.06024096385542166
mins 252 , noise_error =0.9642857142857143, delte = 0.0357142857142857
mins 253 , noise_error =0.9302325581395349, delte = 0.06976744186046513
mins 254 , noise_error =0.9529411764705882, delte = 0.04705882352941182
mins 255 , noise_error =0.7647058823529411, delte = 0.20000000000000007
mins 256 , noise_error =0.9382716049382716, delte = 0.03703703703703709
mins 257 , noise_error =0.8860759493670887, delte = 0.11392405063291133
mins 258 , noise_error =0.9518072289156626, delte = 0.048192771084337394
mins 259 , noise_error =0.9012345679012346, delte = 0.09876543209876543
mins 260 , noise_error =0.925, delte = 0.07499999999999996
mins 261 , noise_error =0.8717948717948718, delte = 0.1282051282051282
mins 262 , noise_error =0.926829268292683, delte = 0.07317073170731703
mins 263 , noise_error =0.891566265060241, delte = 0.10843373493975905
mins 264 , noise_error =0.9534883720930233, delte = 0.046511627906976716
mins 265 , noise_error =0.8452380952380952, delte = 0.15476190476190477
mins 266 , noise_error =0.927710843373494, delte = 0.048192771084337394
mins 267 , noise_error =0.7875, delte = 0.09999999999999998
mins 268 , noise_error =0.7948717948717949, delte = 0.20512820512820507
mins 269 , noise_error =0.9239130434782609, delte = 0.07608695652173914
mins 270 , noise_error =0.9555555555555556, delte = 0.0444444444444444
