mins 289 , noise_error =0.9803921568627451
mins 290 , noise_error =0.9930555555555556
mins 291 , noise_error =1.0
mins 292 , noise_error =1.0
mins 293 , noise_error =0.9867549668874173
mins 294 , noise_error =0.9941176470588236
mins 295 , noise_error =1.0
mins 296 , noise_error =0.9866666666666667
mins 297 , noise_error =1.0
mins 298 , noise_error =1.0
mins 299 , noise_error =1.0
mins 300 , noise_error =1.0
mins 301 , noise_error =1.0
mins 302 , noise_error =0.9923664122137404
mins 303 , noise_error =0.9924812030075187
mins 304 , noise_error =1.0
mins 305 , noise_error =0.9924812030075187
mins 306 , noise_error =0.9849624060150376
mins 307 , noise_error =1.0
mins 308 , noise_error =1.0
mins 309 , noise_error =1.0
mins 310 , noise_error =1.0
mins 311 , noise_error =1.0
mins 312 , noise_error =1.0
mins 313 , noise_error =1.0
mins 314 , noise_error =1.0
mins 315 , noise_error =1.0
mins 316 , noise_error =1.0
mins 317 , noise_error =1.0
mins 318 , noise_error =1.0
mins 319 , noise_error =0.9863945578231292
mins 320 , noise_error =0.9724137931034482
mins 321 , noise_error =1.0
mins 322 , noise_error =1.0
mins 323 , noise_error =1.0
mins 324 , noise_error =1.0
mins 325 , noise_error =1.0
mins 326 , noise_error =1.0
mins 327 , noise_error =1.0
mins 328 , noise_error =1.0
mins 329 , noise_error =1.0
mins 330 , noise_error =1.0
mins 331 , noise_error =1.0
mins 332 , noise_error =1.0
mins 333 , noise_error =0.9922480620155039
mins 334 , noise_error =0.9767441860465116
mins 335 , noise_error =0.9848484848484849
mins 336 , noise_error =1.0
mins 337 , noise_error =0.9920634920634921
mins 338 , noise_error =0.984375
mins 339 , noise_error =0.9716312056737588
mins 340 , noise_error =0.9869281045751634
mins 341 , noise_error =0.9935483870967742
mins 342 , noise_error =0.9871794871794872
mins 343 , noise_error =0.9662162162162162
mins 344 , noise_error =1.0
mins 345 , noise_error =0.9940828402366864
mins 346 , noise_error =0.9941520467836258
mins 347 , noise_error =0.9934640522875817
mins 348 , noise_error =1.0
mins 349 , noise_error =1.0
mins 350 , noise_error =1.0
mins 351 , noise_error =0.9849624060150376
mins 352 , noise_error =1.0
mins 353 , noise_error =0.9772727272727273
mins 354 , noise_error =1.0
mins 355 , noise_error =1.0
mins 356 , noise_error =1.0
mins 357 , noise_error =1.0
mins 358 , noise_error =1.0
mins 359 , noise_error =1.0
mins 360 , noise_error =1.0
mins 361 , noise_error =1.0
mins 362 , noise_error =1.0
mins 363 , noise_error =1.0
mins 364 , noise_error =1.0
mins 365 , noise_error =1.0
mins 366 , noise_error =1.0
mins 367 , noise_error =1.0
mins 368 , noise_error =1.0
mins 369 , noise_error =0.9921875
mins 370 , noise_error =1.0
mins 371 , noise_error =1.0
mins 372 , noise_error =1.0
mins 373 , noise_error =1.0
mins 374 , noise_error =1.0
mins 375 , noise_error =0.9924242424242424
mins 376 , noise_error =1.0
mins 377 , noise_error =1.0
mins 378 , noise_error =0.9922480620155039
mins 379 , noise_error =1.0
mins 380 , noise_error =0.9922480620155039
mins 381 , noise_error =1.0
mins 382 , noise_error =1.0
mins 383 , noise_error =1.0
mins 384 , noise_error =1.0
mins 385 , noise_error =1.0
mins 386 , noise_error =1.0
mins 387 , noise_error =0.992
mins 388 , noise_error =1.0
mins 389 , noise_error =1.0
mins 390 , noise_error =1.0
mins 391 , noise_error =0.9925925925925926
mins 392 , noise_error =0.9927536231884058
mins 393 , noise_error =0.9849624060150376
mins 394 , noise_error =0.9626865671641791
mins 395 , noise_error =0.9769230769230769
mins 396 , noise_error =0.9847328244274809
mins 397 , noise_error =1.0
mins 398 , noise_error =1.0
mins 399 , noise_error =0.9923664122137404
mins 400 , noise_error =0.9923076923076923
mins 401 , noise_error =1.0
mins 402 , noise_error =0.9921875
mins 403 , noise_error =0.9407407407407408
mins 404 , noise_error =0.8978102189781022
mins 405 , noise_error =0.9708029197080292
mins 406 , noise_error =0.9618320610687023
mins 407 , noise_error =0.9851851851851852
mins 408 , noise_error =0.9928057553956835
mins 409 , noise_error =0.9848484848484849
mins 410 , noise_error =0.9767441860465116
