mins 343 , noise_error =1.0
mins 344 , noise_error =1.0
mins 345 , noise_error =1.0
mins 346 , noise_error =1.0
mins 347 , noise_error =0.9901960784313726
mins 348 , noise_error =0.9411764705882353
mins 349 , noise_error =1.0
mins 350 , noise_error =0.9484536082474226
mins 351 , noise_error =1.0
mins 352 , noise_error =1.0
mins 353 , noise_error =1.0
mins 354 , noise_error =0.99
mins 355 , noise_error =0.912621359223301
mins 356 , noise_error =0.8411214953271028
mins 357 , noise_error =0.9803921568627451
mins 358 , noise_error =0.9595959595959596
mins 359 , noise_error =0.8762886597938144
mins 360 , noise_error =0.9587628865979382
mins 361 , noise_error =0.98
mins 362 , noise_error =0.9615384615384616
mins 363 , noise_error =0.8932038834951457
mins 364 , noise_error =0.8910891089108911
mins 365 , noise_error =0.9702970297029703
mins 366 , noise_error =0.9714285714285714
mins 367 , noise_error =0.8349514563106796
mins 368 , noise_error =0.9489795918367347
mins 369 , noise_error =0.89
mins 370 , noise_error =0.9306930693069306
mins 371 , noise_error =1.0
mins 372 , noise_error =1.0
mins 373 , noise_error =0.9351851851851852
mins 374 , noise_error =0.9019607843137255
mins 375 , noise_error =0.98
mins 376 , noise_error =0.9519230769230769
mins 377 , noise_error =0.7962962962962963
mins 378 , noise_error =0.9326923076923077
mins 379 , noise_error =0.9705882352941176
mins 380 , noise_error =0.9902912621359223
mins 381 , noise_error =0.9423076923076923
mins 382 , noise_error =0.941747572815534
mins 383 , noise_error =0.91
mins 384 , noise_error =0.98
mins 385 , noise_error =1.0
mins 386 , noise_error =1.0
mins 387 , noise_error =1.0
mins 388 , noise_error =1.0
mins 389 , noise_error =1.0
mins 390 , noise_error =0.9074074074074074
mins 391 , noise_error =0.7916666666666666
mins 392 , noise_error =0.8333333333333334
mins 393 , noise_error =0.8529411764705882
mins 394 , noise_error =0.8865979381443299
mins 395 , noise_error =0.9587628865979382
mins 396 , noise_error =1.0
mins 397 , noise_error =1.0
mins 398 , noise_error =0.97
mins 399 , noise_error =0.9393939393939394
mins 400 , noise_error =0.9603960396039604
mins 401 , noise_error =1.0
mins 402 , noise_error =1.0
mins 403 , noise_error =1.0
mins 404 , noise_error =1.0
mins 405 , noise_error =1.0
mins 406 , noise_error =0.98
mins 407 , noise_error =0.96875
mins 408 , noise_error =0.9896907216494846
mins 409 , noise_error =0.95
mins 410 , noise_error =0.9711538461538461
mins 411 , noise_error =0.9504950495049505
mins 412 , noise_error =1.0
mins 413 , noise_error =0.9583333333333334
mins 414 , noise_error =0.94
mins 415 , noise_error =0.9894736842105263
mins 416 , noise_error =1.0
mins 417 , noise_error =0.9108910891089109
mins 418 , noise_error =0.9690721649484536
mins 419 , noise_error =0.898989898989899
mins 420 , noise_error =1.0
mins 421 , noise_error =0.9306930693069306
mins 422 , noise_error =0.7961165048543689
mins 423 , noise_error =0.9504950495049505
mins 424 , noise_error =0.9339622641509434
mins 425 , noise_error =1.0
mins 426 , noise_error =0.9532710280373832
mins 427 , noise_error =0.962962962962963
mins 428 , noise_error =1.0
mins 429 , noise_error =0.9130434782608696
mins 430 , noise_error =0.9191919191919192
mins 431 , noise_error =0.6804123711340206
mins 432 , noise_error =0.7777777777777778
mins 433 , noise_error =0.6020408163265306
mins 434 , noise_error =0.7888888888888889
mins 435 , noise_error =0.968421052631579
mins 436 , noise_error =0.9797979797979798
mins 437 , noise_error =1.0
mins 438 , noise_error =1.0
mins 439 , noise_error =1.0
mins 440 , noise_error =1.0
mins 441 , noise_error =0.9484536082474226
mins 442 , noise_error =0.9902912621359223
mins 443 , noise_error =1.0
mins 444 , noise_error =0.8252427184466019
mins 445 , noise_error =0.8061224489795918
mins 446 , noise_error =0.989247311827957
mins 447 , noise_error =0.9278350515463918
mins 448 , noise_error =0.9894736842105263
mins 449 , noise_error =0.9587628865979382
mins 450 , noise_error =0.9680851063829787
mins 451 , noise_error =0.9891304347826086
mins 452 , noise_error =0.9690721649484536
mins 453 , noise_error =0.9081632653061225
mins 454 , noise_error =0.8947368421052632
mins 455 , noise_error =0.9489795918367347
mins 456 , noise_error =0.978021978021978
mins 457 , noise_error =0.9893617021276596
mins 458 , noise_error =0.9897959183673469
mins 459 , noise_error =1.0
mins 460 , noise_error =0.9591836734693877
mins 461 , noise_error =0.8165137614678899
mins 462 , noise_error =0.8777777777777778
mins 463 , noise_error =0.9666666666666667
mins 464 , noise_error =1.0
mins 465 , noise_error =1.0
mins 466 , noise_error =1.0
mins 467 , noise_error =0.98989898989899
mins 468 , noise_error =0.956989247311828
mins 469 , noise_error =0.9791666666666666
mins 470 , noise_error =1.0
mins 471 , noise_error =0.967032967032967
mins 472 , noise_error =1.0
mins 473 , noise_error =0.978021978021978
mins 474 , noise_error =0.9791666666666666
mins 475 , noise_error =1.0
mins 476 , noise_error =0.8571428571428572
mins 477 , noise_error =0.7372881355932204
mins 478 , noise_error =0.8
mins 479 , noise_error =0.8666666666666667
mins 480 , noise_error =0.7297297297297297
mins 481 , noise_error =0.8640776699029127
mins 482 , noise_error =0.9555555555555556
mins 483 , noise_error =0.9886363636363636
mins 484 , noise_error =0.9775280898876404
mins 485 , noise_error =0.9886363636363636
mins 486 , noise_error =0.9120879120879121
mins 487 , noise_error =0.7628865979381443
mins 488 , noise_error =0.9090909090909091
mins 489 , noise_error =0.8681318681318682
mins 490 , noise_error =0.7592592592592593
mins 491 , noise_error =0.9523809523809523
mins 492 , noise_error =0.9532710280373832
mins 493 , noise_error =0.8807339449541285
mins 494 , noise_error =0.53
mins 495 , noise_error =0.125
mins 496 , noise_error =0.23655913978494625
mins 497 , noise_error =0.21276595744680848
mins 498 , noise_error =0.313953488372093
mins 499 , noise_error =0.23404255319148937
mins 500 , noise_error =0.3263157894736842
mins 501 , noise_error =0.33333333333333337
mins 502 , noise_error =0.7920792079207921
mins 503 , noise_error =0.4193548387096774
mins 504 , noise_error =0.42553191489361697
mins 505 , noise_error =0.5454545454545454
mins 506 , noise_error =1.0
mins 507 , noise_error =0.8285714285714285
mins 508 , noise_error =0.4678899082568807
mins 509 , noise_error =0.8928571428571429
mins 510 , noise_error =0.78
mins 511 , noise_error =0.975609756097561
mins 512 , noise_error =0.891566265060241
mins 513 , noise_error =0.8764044943820225
mins 514 , noise_error =0.9456521739130435
mins 515 , noise_error =0.9186046511627907
mins 516 , noise_error =1.0
mins 517 , noise_error =1.0
mins 518 , noise_error =0.9186046511627907
mins 519 , noise_error =0.9213483146067416
mins 520 , noise_error =1.0
mins 521 , noise_error =0.989010989010989
mins 522 , noise_error =0.9888888888888889
mins 523 , noise_error =1.0
mins 524 , noise_error =1.0
mins 525 , noise_error =0.956989247311828
